rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
88.23,0.4254554800000001,5.43,2499,58,2020,145087,0.0001,0.672462522983551,36021,,
87.63,0.42193504000000004,5.23,2514,58,2030,145976,0.0001,0.23156224191188812,36243,,
91.83,0.4176107200000001,5.44,2533,58,2040,147068,0.0001,0.14822250604629517,36516,,
98.08,0.41297355999999996,5.81,2555,58,2050,148239,0.0001,0.12564770877361298,36809,,
96.51,0.40979367999999994,5.81,2570,57,2060,149042,0.0001,0.03971163183450699,37010,,
,0.40600396000000005,,,,,150000,0.0001,0.11237242817878723,37249,8.4,129.2
96.78,0.40546144000000006,6.09,2597,57,2070,150136,0.0001,0.13407695293426514,37283,,
94.39,0.40200435999999995,5.68,2614,57,2080,151009,0.0001,0.3987347185611725,37502,,
96.96,0.39748996000000014,5.8,2636,57,2090,152149,0.0001,0.15990231931209564,37787,,
100.54,0.39310228000000014,6.04,2657,57,2100,153257,0.0001,0.04177039489150047,38064,,
103.33,0.38779984,6.22,2682,57,2110,154596,0.0001,0.11185351014137268,38398,,
106.7,0.3832022799999999,6.26,2704,57,2120,155757,0.0001,0.056426189839839935,38689,,
108.18,0.37909576,6.48,2723,57,2130,156794,0.0001,0.6542078256607056,38948,,
110.21,0.37396755999999987,6.59,2749,57,2140,158089,0.0001,0.3875364065170288,39272,,
111.72,0.36873244000000016,6.55,2773,57,2150,159411,0.0001,0.04850458726286888,39602,,
112.26,0.3653387200000001,6.46,2788,57,2160,160268,0.0001,0.062276698648929596,39816,,
110.69,0.36162820000000007,6.28,2806,57,2170,161205,0.0001,0.026067230850458145,40051,,
113.5,0.3570583599999999,6.58,2827,57,2180,162359,0.0001,0.04996245354413986,40339,,
115.45,0.35177176,6.8,2851,57,2190,163694,0.0001,0.03756408393383026,40673,,
112.26,0.3486473200000001,6.69,2867,57,2200,164483,0.0001,0.05122440308332443,40870,,
111.62,0.3435983200000001,6.59,2892,57,2210,165758,0.0001,0.041154250502586365,41189,,
110.19,0.3395670399999998,6.72,2911,57,2220,166776,0.0001,0.0525951161980629,41443,,
111.27,0.3350328400000001,6.81,2932,57,2230,167921,0.0001,0.060808997601270676,41730,,
106.2,0.33191236,6.61,2946,57,2240,168709,0.0001,0.022842926904559135,41927,,
